Handle,Title,Body (HTML)
cola-willies,Cola willies,"COLA WILLIES<br style=""color:#000000 font-family:Verdana, Geneva, sans-serif font-size:11px font-style:normal font-variant-ligatures:normal font-variant-caps:normal font-weight:400 letter-spacing:normal orphans:2 text-align:start text-transform:none white-space:normal widows:2 word-spacing:0px -webkit-text-stroke-width:0px background-color:#ffffff text-decoration-thickness:initial text-decoration-style:initial text-decoration-color:initial"">Ingredi√´nten: Glucosestroop, Suiker, Gelatine, Zuurteregelaar: Citroenzuur, Aroma, Kleurstof: E150c"
collar-with-cuffs,Collar with cuffs,"<p><span>Play verstelbare zachte halsband met boeien set. De sluitingen zijn met klittenband. Dit artikel is unisex en op verschillende manieren te dragen.</span></p>
<p><span>Bondage Play soft velco collar with restraint line and detachachable soft cuffs</span></p>"
connexion-series-emma-neo-app-controlled,Connexion series emma neo app controlled,"<b style=""box-sizing:inherit font-weight:bolder"">EMMA NEO INTERACTIEVE WARMING WAND-VIBRATOR</b>De kracht, een sexy design en de onweerstaanbare aanhangsel(konijnenoortjes) zorgen voor een kwaliteit die onmogelijk te negeren is. Emma Neo is een krachtige interactieve verwarmende wandvibrator met een sexy ontwerp met afneembare konijnenoren. Gebruik ze om je oren, nek, tepels en al je andere erotische zones te stimuleren die veel meer aandacht nodig hebben. Wees creatief en til je voorspel naar een nieuw niveau. De Emma Neo wordt geleverd met een flexibele kop met een ultrazachte textuur om je clitoris de tedere aanraking en liefde te geven die het verdient.<b style=""box-sizing:inherit font-weight:bolder"">Intelligente app-besturing. Dichterbij dan ooit.</b>Een nieuwe manier om dingen op te fleuren met dit app-gestuurde apparaat. Als je een relatie hebt - vooral een langdurige relatie - is Emma Neo precies wat je nodig hebt. Met langeafstandsbediening kunt u in contact blijven met uw partner, waar u ook bent. Of maak verbinding met interactieve videos en experimenteer met nieuwe manieren om je solo love-game naar een hoger niveau te tillen.<b style=""box-sizing:inherit font-weight:bolder"">Voel de warmte.</b>Ingebouwde verwarmingskern om de vibrerende staaf op te warmen tot 38 ¬∞ C, zo zul je zelfs in de koudste winter genieten van een heerlijk warme sessie. Uitgerust met een hoogfrequente trilmotor, waardoor een volledige batterij je verzekerd van 4 uur ononderbroken plezier. Het wordt geleverd met 5 + 1 vibrerende modi en 5 intensiteiten, waardoor je de heerlijke taak hebt om alle combinaties uit te proberen.<b style=""box-sizing:inherit font-weight:bolder"">SVAKOM Intelligente modus.</b>Introductie van SVAKOMs Intelligent Mode, een prachtige sekstour die je met slechts een aanraking van verlegen voorspel naar meerdere climaxen brengt. Een gesynchroniseerde pleziermodus waarin nauwkeurig ritme en intensiteiten zorgvuldig worden voorgeselecteerd en gearrangeerd met √©√©n doel voor ogen: niet te stoppen plezier.<b style=""box-sizing:inherit font-weight:bolder"">Volledig waterdicht. Vol spetterend plezier, ontdek een waterig orgasme.</b>Emma Neo is gebouwd met de meest geavanceerde technologie, allemaal verpakt in een waterdicht IPX7-materiaal dat het supergemakkelijk schoon te maken maakt en een uitstekende bondgenoot in bad, douche of bubbelba<b style=""box-sizing:inherit font-weight:bolder"">d.</b><ul open="""" sans="""" style=""box-sizing:inherit margin-bottom:1rem margin-top:0px list-style:inside square padding-left:0px color:#666666 font-family:"">	<li style=""box-sizing:inherit"">App-gestuurd werken via Bluetooth-verbinding</li>	<li style=""box-sizing:inherit"">Geniet met wie je maar wilt, waar je ook bent</li>	<li style=""box-sizing:inherit"">Maak verbinding met interactieve 2D-videos en webcamartiesten</li>	<li style=""box-sizing:inherit"">Flexibele kop: wordt geleverd met bevestiging voor konijnenoren</li>	<li style=""box-sizing:inherit"">Verwarmingsfunctie</li>	<li style=""box-sizing:inherit"">SVAKOM intelligente modus</li>	<li style=""box-sizing:inherit"">Milieuvriendelijk en lichaamsveilig materiaal</li>	<li style=""box-sizing:inherit"">USB oplaadbaar</li>	<li style=""box-sizing:inherit"">100% waterdicht</li>
</ul>"
cool-glijmiddel-150-ml,Cool glijmiddel 150 ml,"<div class=""container"">
<div class=""row  "" data-wid=""18"">
<div id=""kontrolka-48"" class=""kontrolka-PoleProduktu col-12  "" data-kid=""48"">
<div class=""pole-opis-wartosc"">
<p _msttexthash=""27868828"" _msthash=""234"">Lube Tube Cool is een intieme gel op waterbasis met een menthol verkoelend en tintelend effect om het genot voor zowel hem als haar te vergroten. Langdurige smering, geurloos, niet plakkerig, gemakkelijk schoon te maken en te wassen.</p>
<p> </p>
</div>
</div>
</div>
</div>"
copenhagen-anal-plugs,Copenhagen anal plugs,<p>Set van 2 anatomisch gevormde anaalpluggen in twee verschillende maten. Het speciale ontwerp zorgt ervoor dat je hem overdag en s nachts kunt blijven dragen. Anaal plezier zowel voor hem als ook voor haar.LARGE: 2.7 x 6.5 x 7 cm / SMALL: 2.2 x 6.2 x 5.3 cm</p>
corset-3-delig-zwart-1024,Corset (3 delig) zwart 1024,"<p>Chique corset set in zwart. Deze set bestaat uit een corset, G-string en kousen. Het corset heeft haakjes aan de achterkant om te sluiten.</p>"
corset-3-delig-zwart-1025,Corset (3 delig) zwart 1025,
corset-3-delig-zwart-1026,Corset (3 delig) zwart 1026,
corset-3-delig-zwart-1027,Corset (3 delig) zwart 1027,
corset-met-g-string-en-kousen-zwart-goud,Corset met G-string en kousen zwart / goud,<p>Haakjes aan de achterkant om te sluiten</p>
corset-met-g-string-handschoenen-en-kousen-rood,Corset met G-string handschoenen en kousen rood,"<p>10% Elastaan, 90% Nylon</p>"
corset-met-g-string-handschoenen-en-kousen-zwart,Corset met G-string handschoenen en kousen zwart,"<p>Sensuele torselet set in het zwart, elastisch kant.<br>Deze half transparante set bestaat uit een camisole, een paar kousen, handschoenjes en een g-string.</p>"
corset-met-ritssluiting-voor-latex,Corset met ritssluiting voor latex,<p>Latex </p>
cosmo-bondage-ankle-cuffs-rainbow,Cosmo bondage ankle cuffs rainbow,"<p>De nacht licht op met deze holografische enkel van Cosmo! Ze zijn gemaakt van veelkleurig en glimmend vinyl dat gemakkelijk schoon te maken is, en ze zijn verstelbaar met de rosegoudkleurige gespen.</p>"
cosmo-bondage-hogtie-rainbow,Cosmo bondage hogtie rainbow,"<p>Light up the night with Cosmos holographic hog tie. Accented with Rose Gold nickle free hardware. Made from easy to clean Vinyl. <br> </p>
<ul>
<li>Hog tie</li>
<li>Made from vinyl</li>
<li>Rose gold nickle free hardware</li>
<li>Easy to clean</li>
<li>Product Dimensions: 9.17 x 9.17 x 0.31 inch / 23,3 x 23,3 x 0,8 cm</li>
</ul>"
cowgirl-bareback-silicone-attachment,Cowgirl bareback silicone attachment,"<p>Saddle up for a smooth ride with The Cowgirl Bareback silicone attachment. Just long enough to allow the clitoris and/or perineum to touch The Cowgirl and join in the symphony of vibrations, this Bareback Silicone Attachment is what you need for a non-penetrative and delicate experience.Made of 100% body-safe silicone, it feels as though you are being massaged by delicate fingers or even a tingling similar to rimming. Edging into penetration but just not getting there while making everything important the star of this show - That’s the perfect authenticity of the Bareback Attachment.Easy to clean and even easier to fall in love with.Bareback Silicone Attachment Non-penetrativeSmooth textureDesigned for The CowgirlTML x H: 22 cm x 4,6 cmAttachment Size: W 9.5 inch x L 3.9 inch / W 24,2 cm x L 10 cmShaft Height: 1.2 inch / 3 cmMaterial: body-safe silicone</p>"
crazy-bull-soft-vagina-masturbator-2,Crazy bull - soft vagina masturbator 2,<p><span>Crazy Bull Realistische Vagina Masturbator gemaakt van nieuwe innovatieve levensechte siliconen. Er zijn slechts een paar druppels water nodig om de masturbator te hydrateren en u een realistische seksuele ervaring te geven.</span></p>
crazy-bull-soft-vagina-masturbator-5,Crazy bull soft vagina masturbator 5,<p>Crazy Bull Realistische Vagina Masturbator gemaakt van nieuwe innovatieve levensechte siliconen. Er zijn slechts een paar druppels water nodig om de masturbator te hydrateren en u een realistische seksuele ervaring te geven.</p>
crazy-bull-soft-vagina-masturbator-with-vibration,Crazy bull soft vagina masturbator with vibration,"<p class=""MsoNoSpacing"">Crazy Bull Realistische Vagina Masturbator gemaakt van nieuwe innovatieve levensechte siliconen. Er zijn slechts een paar druppels water nodig om de masturbator te hydrateren en u een realistische seksuele ervaring te geven.</p>
<p class=""MsoNoSpacing"">De multispeed-kogel voegt extra stimulatie toe. (3x AAA batterij)</p>"
crazy-bull-veronica-vibrerende-vagina-en-amp-ass-masturbator,Crazy bull veronica vibrerende vagina en amp ass masturbator,<strong>Crazy Bull - Veronica - Vibrerende Vagina  en  Ass Masturbator</strong>Deze masturbator is gemaakt van realistisch TPR-materiaal dat het menselijk lichaam nabootst en zorgt voor een uiterst realistische ervaring. De multi-speed vibraties zijn eenvoudig te bedienen via de afstandsbediening. De masturbator is voorzien van twee openingen die realistische replicas zijn van een vagina en anus. Let op: voor de afstandsbediening zijn 3x AAA batterijen nodig (niet inbegrepen).
cropped-catsuit-met-een-schouder-zwart,Cropped catsuit met één schouder zwart,"<p><span>Let your claws loose with the One Shoulder Cropped Catsuit. You’ll be able to ply your feminine charms easily thanks to this outfit’s ability to straddle a fine line between fashion-conscious and openly sexy. The standout single shoulder strap helps to frame not just your shoulders, but your bust, too.</span><br><br><span>The same design cue helps to connect the upper and lower portion of this outfit, leaving your midriff and much of your back bare. Your legs will be accentuated perfectly with the high-waist, low-back three-quarter leggings. Truly the perfect outfit to wear on a fun night out at the club, or even to a high-end restaurant.</span><br><br></p>
<ul>
<li>The standout single-shoulder strap</li>
<li>Connected upper and lower portion of the outfit</li>
<li>Versatile design is casual enough for a club and sophisticated enough for a posh restaurant</li>
<li>Material: 93% Nylon and 7% Spandex for a comfortable fit</li>
</ul>
<p> </p>
<div><b><u><a href=""https://www.tongabv.com/downloads/pink%20lipstick%20size%20chart.pdf"" target=""_blank"" rel=""noopener"">Click here for the Pink Lipstick Size Chart</a></u></b></div>
<p><strong><br>Fabric care</strong><span></span></p>
<ul>
<li>Hand wash in cold water</li>
<li>Do not dry clean</li>
<li>Do not bleach</li>
<li>Line dry</li>
<li>Do not iron</li>
</ul>"
daisy-youth-2-in-1-clit-likker-en-vibrerend-eitje-paars,Daisy-youth - 2 in 1 clit likker en vibrerend eitje - paars,"<p><b>Pretty Love - Daisy-Youth - 2 in 1 Clit Likker en Vibrerend Eitje - Paars</b></p>
<p>Daisy-Youth is een clit likker én vibrerend eitje in 1.</p>
<p>Het is ontworpen om je dubbele stimulatie te geven met 12 functies van vibratie en 3 functies van likken.<br>De geheugenfunctie houdt je favoriete instellingen bij en met de verschillende functies zul je geen moeite hebben om de perfecte te vinden om je over het randje te sturen.</p>
<p>Dit speeltje voelt net zo ongelooflijk in je handen als in je.</p>
<ul>
<li>12 vibratie-instellingen</li>
<li>3 likfuncties</li>
<li>Geheugenfunctie</li>
<li>Oplaadtijd: 120 minuten</li>
<li>Gebruikstijd: 60 minuten</li>
</ul>"
dames-slip-latex,Dames slip latex,<p><span>Over 600% stretch guarantee</span></p>
damesslip-met-dildo-binnen-in-12-x-3-5-cm-latex,Damesslip met dildo binnen in (12 x 3.5 cm) latex,<p><span>Over 600% stretch guarantee</span></p>
dark-desires-alexandra,Dark desires alexandra,"Alexandra is een volledig zwarte vibrerende anale plug die wordt geleverd met een afstandsbediening. Deze stimulator is heerlijk als je graag de achterdeur gebruikt. Partners kunnen spannende mogelijkheden onthullen om elkaar te plagen en te verrassen met deze plug, een avontuur dat kan eindigen met een intens orgasme als de absolute climax.<br style=""box-sizing:border-box color:#777777 font-family:"" open sans sans-serif font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" white-space:normal="""" widows:2="""" word-spacing:0px="""" background-color:="""" text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial=""""> <ul style=""box-sizing:border-box margin-top:0px margin-bottom:1rem color:#777777 font-family:"" open sans sans-serif font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" white-space:normal="""" widows:2="""" word-spacing:0px="""" background-color:="""" text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial="""">	<li _msthash=""332332"" _msttexthash=""382213"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Trillende anale plug</li>	<li _msthash=""332333"" _msttexthash=""831402"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Met draadloze afstandsbediening</li>	<li _msthash=""332334"" _msttexthash=""923936"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Met 3 trillingssnelheden en 7 ritmes</li>	<li _msthash=""332335"" _msttexthash=""5152225"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Eenvoudige bediening met een enkele knop op de stekker of met 3 knoppen op de afstandsbediening.</li>	<li _msthash=""332336"" _msttexthash=""440011"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Afstandsbereik 5 meter</li>	<li _msthash=""332337"" _msttexthash=""517764"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>IPX7 Waterdichte stekker</li>	<li _msthash=""332338"" _msttexthash=""940550"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Afstandsbediening niet waterdicht</li>	<li _msthash=""332339"" _msttexthash=""4056806"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Gemaakt van massief siliconen en ABS (plug) en ABS met PU-coating (afstandsbediening)</li>	<li _msthash=""332340"" _msttexthash=""1635751"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Lichaamsveilig, vrij van latex, vrij van ftalaten</li>	<li _msthash=""332341"" _msttexthash=""1309620"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Oplaadbaar met de meegeleverde USB-pin kabel</li>	<li _msthash=""332342"" _msttexthash=""3430908"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Afmetingen Anale Plug:<br _istranslated=""1"" style=""box-sizing:border-box"">	Lengte 13,35 cm, Breedte 5,2 cm, Hoogte 3,7 cm, Diameter 3,9 cm</li>	<li _msthash=""332343"" _msttexthash=""2846389"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Afmetingen Afstandsbediening:<br _istranslated=""1"" style=""box-sizing:border-box"">	Lengte 6,8 cm, Breedte 5,0 cm, Hoogte 1,6 cm</li>
</ul><strong _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box font-weight:bolder"">Donkere verlangens</strong><br _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box"">Degenen die de duistere verlangens diep van binnen willen bevredigen, de vrouwen die graag een geheim hebben, de mensen die de voorkeur geven aan het minder voor de hand liggende, degenen die graag hun fantasie√´n verkennen en verborgen schatten vinden in zelfliefdeland. Die mensen zullen dol zijn op deze Dream Toys-productlijn die Dark Desires wordt genoemd. Het bevat alle zwarte speeltjes voor vaginale en anale stimulatie om hun diepste verlangens te bevredigen"
darlene-youth-ei-vibrator-met-afstandsbediening,Darlene-youth -ei-vibrator met afstandsbediening,"<p><strong>Pretty Love - Darlene-Youth - Ei-vibrator met afstandsbediening - Paars </strong></p>
<p>Revitaliseer je intieme momenten met de Pretty Love Darlene-Youth Egg Vibrator, een verleidelijke aanvulling op je pleziercollectie. </p>
<p>Deze discrete en compacte vibrator, versierd met een strak design, wordt vergezeld door een afstandsbediening voor naadloos genot.<br>De Darlene-Youth is gemaakt van lichaamsveilige materialen en biedt een fluweelzachte textuur en krachtige vibraties om je verlangens te bevredigen.</p>
<p>Geniet samen of alleen van deze veelzijdige en stijlvolle Egg Vibrator.</p>
<ul>
<li> 12 vibratiestanden</li>
</ul>"
datex-catsuit-met-rits-op-de-buste,Datex catsuit met rits op de buste,"<p>Deze strakke glanzende zwarte catsuit van Datex heeft korte mouwen en een kraag. Het sluit met een rits aan de voorkant. De bijzondere details die dit maken Guilty Pleasure Datex catsuit een zeer spannend item zijn de verleidelijke tepel openingen met verticale 2-weg ritsen.<br style=""box-sizing: border-box color:#382f2d font-family:;"" open="""" sans sans-serif="""" font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" widows:2="""" word-spacing:0px="""" white-space:normal="""" background-color: text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial> </p>
<ul style=""box-sizing: border-box margin-top:0px margin-bottom:1rem color:#382f2d font-family:;"" open="""" sans sans-serif="""" font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" widows:2="""" word-spacing:0px="""" white-space:normal="""" background-color:="""" text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial="""">
<li _msthash=""597"" _msttexthash=""2937727"" style=""box-sizing: border-box font-family:;"" open="""" sans sans-serif="""" font-weight:300="""" color: font-size:13px="""">Catsuit met rits op de buste, korte mouwen en borstopeningen met rits.</li>
<li _msthash=""598"" _msttexthash=""2622087"" style=""box-sizing: border-box font-family:;"" open="""" sans sans-serif="""" font-weight:300="""" color: font-size:13px="""">Materiaal: Datex (69% natuurlijke latex / 27% polyamide / 4% elastaan)</li>
</ul>
<p>Datex is een revolutionair materiaal gemaakt van natuurrubberlatex, gedrukt op een elastische gebreide stof. Het resultaat is een zeer rekbaar materiaal met de looks en touch van latex aan de buitenkant en de zachtheid en het comfort van de rekbare stof aan de binnenkant.<br _istranslated=""1"" style=""box-sizing: border-box;""><br _istranslated=""1"" style=""box-sizing: border-box;"">Datex is comfortabel om te dragen, het heeft die opwindende uitstraling van latex, maar niet het nadeel van plakkerig en zweterig zijn. Het is gemakkelijk aan of uit te trekken zonder extra verbandmiddelen of conditioners. Datex biedt veel comfort, zachtheid en flexibiliteit, en tegelijkertijd de fetisjlook en -touch die latex zo uniek en gewaardeerd maken.<br style=""box-sizing: border-box color:#382f2d font-family:;"" open="""" sans sans-serif="""" font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" widows:2="""" word-spacing:0px="""" white-space:normal="""" background-color: text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial> <b style=""box-sizing: border-box font-weight:bolder;"">Klik hier voor Datex onderhoudsinstructies en maattabel</b></p>"
datex-lange-jurk-medium,Datex Lange Jurk Medium,"<p>ProductinformatieDeze chique lange jurk zal van jou een schitterende verschijning maken, en op welk feestje jij ook aankomt jij zal een verpletterende indruk achterlaten. De jurk heet een lengte tot aan de enkels en zit strak aangesloten vanaf boven tot net boven de knie√´n waarna de jurk een wijd uitlopend model krijgt. De jurk heet een hoge hals en heeft een klein kap mouwtje. De rits is geheel open te ritsen met de volledige rits aan de voorkant. Steek je voeten in je favoriete en mooiste pumps om je look af te maken en ga als een femme fatale de avond in.</p>
<ul>
<li>Merk: guilty Pleasure</li>
<li>Materiaal: Datex</li>
<li>Kleur: Zwart</li>
<li>Jurk</li>
<li>Lang model</li>
<li>Uitlopend model</li>
<li>Mouwloos</li>
<li>Hoge hals</li>
<li>Makkelijk aan een uit te trekken</li>
<li>Lange rits aan de voorkant</li>
<li>Rekbaar </li>
<li>Mooie pasvorm</li>
</ul>"
delphini-vingervibrator-paars,Delphini vingervibrator paars,"<strong>Pretty Love - Delphini - Vingervibrator - Paars</strong>Delphini is een compacte en discrete vingervibrator die gemakkelijk op de vinger glijdt, zodat je moeiteloos de erogene zones kunt verkennen en stimuleren, zoals de tepels, de clitoris, het perineum of andere delen van het lichaam. Delphini heeft een gebogen en flexibel ontwerp. Uitgerust met een krachtige motor, biedt Delphini 10 verschillende vibratie standen om uit te kiezen.<ul>	<li>Discreet ontwerp</li>	<li>Krachtige motor</li>	<li>10 vibratie standen</li>
</ul>"
deluxe-douche,Deluxe douche,"<p>Productinformatie</p>
<ul>
<li>Merk: Lovetoy</li>
<li>Materiaal: Siliconen</li>
<li>Kleur: Zwart</li>
<li>Lengte: 26.60 cm</li>
<li>Diameter: 1.70 cm</li>
<li>Anaal douche</li>
<li>Met bal</li>
<li>Makkelijk in gebruik</li>
<li>Zacht materiaal</li>
<li>Waterproof</li>
</ul>"
deluxe-furry-manchetten-handboeien,Deluxe furry manchetten handboeien,"<table border=""0"" cellspacing=""0"">
<colgroup width=""3722""></colgroup>
<tbody>
<tr>
<td height=""17"" align=""left"" _msttexthash=""92369394"" _msthash=""2168"">Veilig, gezellig en elegant! Deze handboeien zijn fluweelzacht dankzij het pluche zakje en zijn daarom perfect geschikt voor beginners en nieuwsgierige mensen op het gebied van bondage en MS. Met de veiligheidsbeugel kunnen de handboeien worden geopend, zelfs als de sleutel niet kan worden gevonden. De zachte pluche hoes maakt de handboeien zeer comfortabel om te dragen en kan worden verwijderd voor eenvoudige reiniging.</td>
</tr>
</tbody>
</table>"
de-snoepwinkel-lemon-squeeze,De snoepwinkel lemon squeeze,"The Candy Shop range of toys from Dream Toys immediately catches the eye with their soft pastel colours and smooth shapes. Each toy from the Candy Shop collection has a different pastel colour and a matching name.This yellow Kegel Ball set is called Lemon Squeeze. A single sleeve and a double sleeve hold the kegel balls. The balls are removable for weight adjustment of the kegels and for easy cleaning. With this set users can train the pelvic floor muscles by sqeezing and holding the kegel balls, and make it easier or harder by varying the weight from 24,7 till 101,5 grams. The set for erotic vaginal training is made of silicone and ABS. They are phthalate-free, latex-free and 100% body safe. The balls have a moving metal ball inside for stimulation.With this set you can train from 24,7 grams (the lightest ball in the single sleeve) till 101,5 grams (the two heaviest balls in the double sleeve). The empty weight of the single sleeve is 14,7 grams. The empty weight of the double sleeve is 24,3 grams. The three balls weigh 10 grams, 20,33 grams and 34,48 grams. Kegel balls and sleevesIPX7 waterproofMade of silicone and ABSBody safe, phthalates free, latex freeDimensions:Single: Length 12,6 cm, Width 3,6 cm, Depth 3,2 cm, Weight from 24,7 gramsDual: Length 17,8 cm, Width 3,6 cm, Depth 3,2 cm, Weight up to 101,5 gramsClick here to download the manual<br><br>Het Candy Shop speelgoed assortiment van Dream Toys springt meteen in het oog met hun zachte pastelkleuren en gladde vormen. Elk speeltje uit de Candy Shop collectie heeft een andere pastelkleur en een bijpassende naam.<br _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box""><br _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box"">Deze gele Kegel Ball set heet Lemon Squeeze. Een enkele mouw en een dubbele mouw houden de kegelballen vast. De ballen zijn afneembaar voor gewichtsaanpassing van de kegels en voor eenvoudige reiniging. Met deze set kunnen gebruikers de bekkenbodemspieren trainen door de kegelballen te sqeezen en vast te houden, en het makkelijker of moeilijker maken door het gewicht te variëren van 24,7 tot 101,5 gram. De set voor erotische vaginale training is gemaakt van siliconen en ABS. Ze zijn ftalaatvrij, latexvrij en 100% lichaamsveilig. De ballen hebben een bewegende metalen bal aan de binnenkant voor stimulatie.<br _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box""><br _istranslated=""1"" _mstmutation=""1"" style=""box-sizing:border-box"">Met deze set kun je trainen van 24,7 gram (de lichtste bal in de enkele mouw) tot 101,5 gram (de twee zwaarste ballen in de dubbele mouw). Het leeggewicht van de enkele sleeve is 14,7 gram. Het leeggewicht van de dubbele sleeve is 24,3 gram. De drie balletjes wegen 10 gram, 20,33 gram en 34,48 gram.<br style=""box-sizing:border-box color:#777777 font-family:"" open sans sans-serif font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" white-space:normal="""" widows:2="""" word-spacing:0px="""" background-color:="""" text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial=""""> <ul style=""box-sizing:border-box margin-top:0px margin-bottom:1rem color:#777777 font-family:"" open sans sans-serif font-size:13px="""" font-style:normal="""" font-variant-ligatures:normal="""" font-variant-caps:normal="""" font-weight:300="""" letter-spacing:normal="""" orphans:2="""" text-align:start="""" text-transform:none="""" white-space:normal="""" widows:2="""" word-spacing:0px="""" background-color:="""" text-decoration-thickness:initial="""" text-decoration-style:initial="""" text-decoration-color:initial="""">	<li _msthash=""333502"" _msttexthash=""421421"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Kegel ballen en mouwen</li>	<li _msthash=""333503"" _msttexthash=""247793"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>IPX7 waterdicht</li>	<li _msthash=""333504"" _msttexthash=""572312"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Gemaakt van siliconen en ABS</li>	<li _msthash=""333505"" _msttexthash=""1249807"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Lichaamsveilig, ftalatenvrij, latexvrij</li>	<li _msthash=""333506"" _msttexthash=""12100569"" style=""box-sizing:border-box font-family:"" open sans sans-serif color: font-size:13px>Afmetingen:<br _istranslated=""1"" style=""box-sizing:border-box"">	Single: Lengte 12,6 cm, Breedte 3,6 cm, Diepte 3,2 cm, Gewicht vanaf 24,7 gram<br _istranslated=""1"" style=""box-sizing:border-box"">	Dubbel: Lengte 17,8 cm, Breedte 3,6 cm, Diepte 3,2 cm, Gewicht tot 101,5 gram</li>
</ul>"
